,motif_address,motif_id,motif_n,total_gap,kink_factor,kink_std,intensity_kink,intensity_kink_std,white_noise,stimuli_path,id,SDoTMF,mean_SDoTMF
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif18.wav,motif18,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif18_kink1.0_intensitykink0.0whiteNoiseFalse.wav,6,[69.04083374805174],69.04083374805174
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif18.wav,motif18,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif18_kink1.0_intensitykink1.0whiteNoiseTrue.wav,6,[75.35969821428154],75.35969821428154
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif18.wav,motif18,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif18_kink1.0_intensitykink1.0whiteNoiseFalse.wav,6,[49.266477729132454],49.266477729132454
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif16.wav,motif16,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif16_kink0.0_intensitykink0.0whiteNoiseTrue.wav,7,[17.35204288975383],17.35204288975383
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif16.wav,motif16,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif16_kink0.0_intensitykink0.0whiteNoiseFalse.wav,7,[47.47192583393978],47.47192583393978
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif16.wav,motif16,11,144000,0.0,0.0,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif16_kink0.0_intensitykink1.0whiteNoiseTrue.wav,7,[51.595505665167586],51.595505665167586
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif16.wav,motif16,11,144000,0.0,0.0,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif16_kink0.0_intensitykink1.0whiteNoiseFalse.wav,7,[73.30722596723835],73.30722596723835
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif16.wav,motif16,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif16_kink1.0_intensitykink0.0whiteNoiseTrue.wav,7,[77.01147589623228],77.01147589623228
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif16.wav,motif16,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif16_kink1.0_intensitykink0.0whiteNoiseFalse.wav,7,[45.35148120989765],45.35148120989765
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif16.wav,motif16,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif16_kink1.0_intensitykink1.0whiteNoiseTrue.wav,7,[77.58914470794463],77.58914470794463
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif16.wav,motif16,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif16_kink1.0_intensitykink1.0whiteNoiseFalse.wav,7,[78.3064788363443],78.3064788363443
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif11.wav,motif11,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif11_kink0.0_intensitykink0.0whiteNoiseTrue.wav,8,[36.09522904742712],36.09522904742712
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif11.wav,motif11,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif11_kink0.0_intensitykink0.0whiteNoiseFalse.wav,8,[10.033581162360859],10.033581162360859
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif11.wav,motif11,11,144000,0.0,0.0,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif11_kink0.0_intensitykink1.0whiteNoiseTrue.wav,8,[28.593994892896426],28.593994892896426
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif11.wav,motif11,11,144000,0.0,0.0,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif11_kink0.0_intensitykink1.0whiteNoiseFalse.wav,8,[9.82755555397858],9.82755555397858
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif11.wav,motif11,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif11_kink1.0_intensitykink0.0whiteNoiseTrue.wav,8,[87.78477367109159],87.78477367109159
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif11.wav,motif11,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif11_kink1.0_intensitykink0.0whiteNoiseFalse.wav,8,[31.812839168845162],31.812839168845162
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif11.wav,motif11,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif11_kink1.0_intensitykink1.0whiteNoiseTrue.wav,8,[80.69565780111073],80.69565780111073
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif11.wav,motif11,11,144000,1.0,4532.303458507606,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif11_kink1.0_intensitykink1.0whiteNoiseFalse.wav,8,[42.13942392463566],42.13942392463566
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif0.wav,motif0,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif0_kink0.0_intensitykink0.0whiteNoiseTrue.wav,9,[27.924300989800116],27.924300989800116
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif0.wav,motif0,11,144000,0.0,0.0,0.0,1.1102230246251565e-16,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif0_kink0.0_intensitykink0.0whiteNoiseFalse.wav,9,[15.69255042447614],15.69255042447614
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif0.wav,motif0,11,144000,0.0,0.0,1.0,0.20769424080831336,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif0_kink0.0_intensitykink1.0whiteNoiseTrue.wav,9,[52.072321802824376],52.072321802824376
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif0.wav,motif0,11,144000,0.0,0.0,1.0,0.20769424080831336,False,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif0_kink0.0_intensitykink1.0whiteNoiseFalse.wav,9,[18.100374773088287],18.100374773088287
0,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/s_b1555_22/motifs/motif0.wav,motif0,11,144000,1.0,4532.303458507606,0.0,1.1102230246251565e-16,True,/mnt/cube/j8xing/starling_rhythm_mfdfa/data/TMF_ver/motif0_kink1.0_intensitykink0.0whiteNoiseTrue.wav,9,[108.20736399865174],108.20736399865174
